,key,timestamp
0,Key.shift,6850.png
1,A,7851.png
2,Key.space,8234.png
3,g,8520.png
4,u,8846.png
5,i,9082.png
6,d,9556.png
7,e,9887.png
8,Key.space,10181.png
9,t,10621.png
10,o,10909.png
11,Key.space,11173.png
12,a,11463.png
13,n,11789.png
14,Key.space,12053.png
15,e,12360.png
16,f,12648.png
17,f,12860.png
18,e,13089.png
19,c,13337.png
20,t,13608.png
21,i,13889.png
22,v,14508.png
23,e,15329.png
24,Key.space,15785.png
25,w,16620.png
26,a,16875.png
27,y,17189.png
28,Key.space,17519.png
29,t,19057.png
30,o,19305.png
31,Key.space,19527.png
32,b,19736.png
33,u,19989.png
34,i,20214.png
35,l,20471.png
36,d,20742.png
37,Key.space,21061.png
38,n,21885.png
39,e,22131.png
40,u,22326.png
41,r,22513.png
42,a,22790.png
43,l,23077.png
44,Key.space,23387.png
45,n,23631.png
46,e,23835.png
47,t,24137.png
48,w,24637.png
49,o,24928.png
50,r,25186.png
51,k,25428.png
52,Key.space,25740.png
53,a,26079.png
54,r,26623.png
55,c,26888.png
56,h,27116.png
57,i,27332.png
58,t,27573.png
59,e,27835.png
60,c,28082.png
61,h,28438.png
62,t,29140.png
63,u,29320.png
64,r,29502.png
65,e,29783.png
66,s,30065.png
67,Key.space,31070.png
68,p,31467.png
69,a,31638.png
70,r,31950.png
71,t,33276.png
72,Key.space,33625.png
73,Key.shift,34055.png
74,I,34380.png
75,I,34904.png
76,Key.space,37066.png
77,h,37810.png
78,e,38116.png
79,y,38399.png
80,p,38999.png
81,e,39299.png
82,r,39615.png
83,Key.space,40018.png
84,p,40698.png
85,a,40953.png
86,r,41270.png
87,a,41689.png
88,m,42223.png
89,e,42384.png
90,t,42665.png
91,e,42920.png
92,r,43207.png
93,s,43544.png
94,Key.space,44395.png
95,s,44637.png
96,e,44907.png
97,l,45139.png
98,e,45353.png
99,c,45643.png
100,t,45896.png
101,i,46136.png
102,o,46343.png
103,n,46583.png
104,Key.space,46842.png
105,a,47105.png
106,n,47338.png
107,d,47592.png
108,Key.space,47807.png
109,t,48254.png
110,u,48475.png
111,n,48700.png
112,n,48876.png
113,i,49127.png
114,n,49375.png
115,g,50966.png
116,Key.space,51184.png
117,f,51472.png
118,o,51715.png
119,r,51999.png
120,Key.space,52376.png
121,c,53176.png
122,o,53372.png
123,n,53519.png
124,v,53770.png
125,o,53942.png
126,l,54145.png
127,u,54403.png
128,t,54620.png
129,i,54813.png
130,o,54976.png
131,n,55133.png
132,a,55466.png
133,n,55742.png
134,a,56825.png
135,l,57030.png
136,Key.space,57340.png
137,n,58028.png
138,e,58293.png
139,u,58482.png
140,r,58671.png
141,a,58902.png
142,l,59114.png
143,Key.space,59334.png
144,n,59587.png
145,e,59786.png
146,t,60090.png
147,w,60685.png
148,o,60900.png
149,r,61109.png
150,k,61354.png
151,s,62302.png
152,Key.space,63058.png
153,u,63353.png
154,s,63535.png
155,i,63759.png
156,n,64024.png
157,f,64774.png
158,Key.space,65023.png
159,h,65775.png
160,y,66035.png
161,p,67462.png
162,e,67670.png
163,r,67858.png
164,a,68131.png
165,s,68547.png
166,Key.space,68870.png
167,o,69158.png
168,n,69410.png
169,Key.space,69723.png
170,f,70169.png
171,a,70379.png
172,s,70631.png
173,h,70869.png
174,i,71092.png
175,o,71314.png
176,n,71545.png
177,Key.space,71790.png
178,m,72138.png
179,n,72420.png
180,i,72660.png
181,s,72922.png
182,t,73214.png
183,Key.enter,74438.png
184,i,77767.png
185,n,77974.png
186,t,78184.png
187,o,78428.png
188,Key.enter,79238.png
189,t,79976.png
190,h,80164.png
191,i,80896.png
192,s,81153.png
193,Key.space,81401.png
194,a,81753.png
195,t,82143.png
196,i,82375.png
197,c,82548.png
198,l,82747.png
199,e,82975.png
200,Key.space,83196.png
201,i,83494.png
202,s,83714.png
203,Key.space,83892.png
204,a,84103.png
205,Key.space,84320.png
206,c,84501.png
207,o,84661.png
208,n,84857.png
209,t,85086.png
210,i,85294.png
211,n,85718.png
212,u,86134.png
213,a,86430.png
214,t,86650.png
215,i,86833.png
216,o,87040.png
217,n,87238.png
218,Key.space,87508.png
219,t,87795.png
220,o,87991.png
221,Key.space,88202.png
222,h,88435.png
223,t,88602.png
224,e,88845.png
225,Key.space,89075.png
226,a,89335.png
227,r,89617.png
228,t,89877.png
229,i,90101.png
230,c,90356.png
231,l,90588.png
232,e,90823.png
233,Key.space,91092.png
234,l,92637.png
235,i,93201.png
236,n,93434.png
237,k,93890.png
238,e,94289.png
239,d,94618.png
240,Key.space,95024.png
241,b,95960.png
242,e,96163.png
243,l,96352.png
244,o,96568.png
245,w,96815.png
246,Key.space,97151.png
247,w,97691.png
248,h,98544.png
249,i,98776.png
250,c,99102.png
251,h,99374.png
252,Key.space,99645.png
253,d,100524.png
254,e,100808.png
255,a,101053.png
256,l,101286.png
257,s,101528.png
258,Key.space,101782.png
259,w,102060.png
260,i,102304.png
261,t,102546.png
262,h,102745.png
263,Key.space,103090.png
264,t,103625.png
265,h,103881.png
266,e,104104.png
267,Key.space,104322.png
268,n,104621.png
269,e,104881.png
270,e,105185.png
271,d,105480.png
272,Key.space,105873.png
273,f,106376.png
274,o,106539.png
275,r,106807.png
276,Key.space,107049.png
277,h,107794.png
278,y,108047.png
279,p,108370.png
280,e,108652.png
281,r,108931.png
282,p,112864.png
283,a,113761.png
284,r,114219.png
285,a,114449.png
286,m,114714.png
287,e,114907.png
288,t,115185.png
289,e,115410.png
290,r,115637.png
291,s,115972.png
292,Key.space,116295.png
293,o,116794.png
294,p,117067.png
295,t,117392.png
296,i,117591.png
297,m,117811.png
298,i,118051.png
299,z,118687.png
300,a,118830.png
301,t,119113.png
302,i,119343.png
303,o,119570.png
304,n,119806.png
305,Key.space,120704.png
306,u,121054.png
307,s,121261.png
308,i,121485.png
309,n,121866.png
310,g,122331.png
311,Key.space,122615.png
312,h,123242.png
313,y,123488.png
314,p,123765.png
315,e,123969.png
316,r,124249.png
317,a,124694.png
318,s,124990.png
319,Key.space,125287.png
320,f,126230.png
321,o,126520.png
322,r,126775.png
323,Key.space,127004.png
324,d,127797.png
325,e,128055.png
326,n,128258.png
327,s,128518.png
328,Key.space,128701.png
329,n,128936.png
330,e,129141.png
331,u,129323.png
332,r,129559.png
333,a,129808.png
334,l,130055.png
335,Key.space,130297.png
336,n,130531.png
337,e,130722.png
338,t,131007.png
339,w,131808.png
340,o,132080.png
341,r,132325.png
342,k,133189.png
343,s,133659.png
344,Key.space,135010.png
345,m,135564.png
346,u,135867.png
347,l,136098.png
348,t,136354.png
349,i,136683.png
350,Key.space,136958.png
351,l,137137.png
352,a,137327.png
353,y,137530.png
354,e,137725.png
355,r,137987.png
356,Key.space,138164.png
357,p,138364.png
358,e,138531.png
359,r,138776.png
360,c,139252.png
361,e,139427.png
362,p,139681.png
