,key,timestamp
0,Key.shift,6850.322999999999
1,A,7851.008
2,Key.space,8234.609
3,g,8520.297999999999
4,u,8846.268
5,i,9082.916
6,d,9556.153
7,e,9887.546
8,Key.space,10181.228
9,t,10621.207
10,o,10909.34
11,Key.space,11173.053
12,a,11463.701
13,n,11789.280999999999
14,Key.space,12053.689999999999
15,e,12360.469
16,f,12648.054
17,f,12860.597
18,e,13089.035
19,c,13337.063
20,t,13608.099
21,i,13889.08
22,v,14508.036
23,e,15329.981
24,Key.space,15785.833999999999
25,w,16620.894
26,a,16875.668999999998
27,y,17189.311999999998
28,Key.space,17519.819
29,t,19057.996
30,o,19305.688
31,Key.space,19527.441
32,b,19736.714
33,u,19989.842
34,i,20214.002
35,l,20471.675
36,d,20742.145
37,Key.space,21061.093999999997
38,n,21885.889
39,e,22131.674
40,u,22326.644
41,r,22513.733
42,a,22790.575999999997
43,l,23077.324
44,Key.space,23387.403
45,n,23631.578999999998
46,e,23835.096999999998
47,t,24137.107
48,w,24637.494
49,o,24928.536
50,r,25186.165999999997
51,k,25428.555
52,Key.space,25740.551
53,a,26079.604
54,r,26623.635
55,c,26888.049
56,h,27116.507999999998
57,i,27332.444
58,t,27573.036
59,e,27835.981
60,c,28082.470999999998
61,h,28438.499
62,t,29140.557999999997
63,u,29320.327999999998
64,r,29502.900999999998
65,e,29783.298
66,s,30065.395
67,Key.space,31070.328999999998
68,p,31467.335
69,a,31638.361999999997
70,r,31950.441
71,t,33276.234
72,Key.space,33625.551
73,Key.shift,34055.693
74,I,34380.174999999996
75,I,34904.286
76,Key.space,37066.157999999996
77,h,37810.420999999995
78,e,38116.945999999996
79,y,38399.057
80,p,38999.941
81,e,39299.006
82,r,39615.996
83,Key.space,40018.804
84,p,40698.566
85,a,40953.206
86,r,41270.955
87,a,41689.026999999995
88,m,42223.04
89,e,42384.751
90,t,42665.231
91,e,42920.865999999995
92,r,43207.13
93,s,43544.96
94,Key.space,44395.825
95,s,44637.850999999995
96,e,44907.841
97,l,45139.619999999995
98,e,45353.776999999995
99,c,45643.871
100,t,45896.795999999995
101,i,46136.632999999994
102,o,46343.867999999995
103,n,46583.096999999994
104,Key.space,46842.54
105,a,47105.576
106,n,47338.744
107,d,47592.623999999996
108,Key.space,47807.545
109,t,48254.679
110,u,48475.575
111,n,48700.134
112,n,48876.583999999995
113,i,49127.636999999995
114,n,49375.655999999995
115,g,50966.023
116,Key.space,51184.937999999995
117,f,51472.498999999996
118,o,51715.973999999995
119,r,51999.975999999995
120,Key.space,52376.579999999994
121,c,53176.931
122,o,53372.089
123,n,53519.22
124,v,53770.344
125,o,53942.804
126,l,54145.354
127,u,54403.388999999996
128,t,54620.229
129,i,54813.352999999996
130,o,54976.831
131,n,55133.322
132,a,55466.248999999996
133,n,55742.861
134,a,56825.38
135,l,57030.341
136,Key.space,57340.134
137,n,58028.426
138,e,58293.289
139,u,58482.655999999995
140,r,58671.206999999995
141,a,58902.210999999996
142,l,59114.412
143,Key.space,59334.053
144,n,59587.35
145,e,59786.320999999996
146,t,60090.102
147,w,60685.197
148,o,60900.907999999996
149,r,61109.566999999995
150,k,61354.164
151,s,62302.087999999996
152,Key.space,63058.081999999995
153,u,63353.905999999995
154,s,63535.859
155,i,63759.09
156,n,64024.195
157,f,64774.049
158,Key.space,65023.376
159,h,65775.84599999999
160,y,66035.309
161,p,67462.055
162,e,67670.822
163,r,67858.617
164,a,68131.579
165,s,68547.42199999999
166,Key.space,68870.746
167,o,69158.74799999999
168,n,69410.643
169,Key.space,69723.06599999999
170,f,70169.813
171,a,70379.52799999999
172,s,70631.20599999999
173,h,70869.572
174,i,71092.73
175,o,71314.036
176,n,71545.809
177,Key.space,71790.60399999999
178,m,72138.77399999999
